# 文字层坐标表 (x_pt, y_pt, 字高, 文本) —— 页面 A3(pt) 1786.25 x 861.48
# x=0.0
458.8	145.0	5.2	Ω
89.6	277.5	5.2	VOUT
222.8	277.5	5.2	USB-VBUS
381.2	713.1	5.2	R37
381.2	720.3	5.2	100
390.0	721.0	5.2	Ω
244.4	313.5	5.2	R12
244.4	327.9	5.2	100
253.2	328.6	5.2	Ω
230.0	335.1	5.2	R14
230.0	342.3	5.2	68k
238.5	343.0	5.2	Ω
827.6	353.1	5.2	R17
827.6	367.5	5.2	1K
834.0	368.2	5.2	Ω
878.0	324.3	5.2	R15
878.0	331.5	5.2	10K
887.4	332.2	5.2	Ω
557.6	799.5	5.2	R27
567.2	799.5	5.2	100
577.2	803.8	5.2	Ω
557.6	749.1	5.2	R34
567.2	749.1	5.2	100
577.2	753.4	5.2	Ω
557.6	806.7	5.2	R28
567.2	806.7	5.2	100
577.2	811.0	5.2	Ω
658.4	335.1	5.2	R16
658.4	349.5	5.2	100
667.2	350.2	5.2	Ω
111.2	313.5	5.2	R11
111.2	327.9	5.2	100
120.0	328.6	5.2	Ω
96.8	335.1	5.2	R13
96.8	342.3	5.2	68k
105.3	343.0	5.2	Ω
557.6	756.3	5.2	R35
567.2	756.3	5.2	100
577.2	760.6	5.2	Ω
852.8	363.9	5.2	R18
856.4	378.3	5.2	100k
867.8	379.0	5.2	Ω
1032.8	590.7	5.2	R24
1032.8	605.1	5.2	1k
1038.4	605.8	5.2	Ω
1083.2	536.7	5.2	R22
1083.2	543.9	5.2	1k
1088.8	544.6	5.2	Ω
1065.2	608.7	5.2	R25
1065.2	615.9	5.2	1k
1070.8	616.6	5.2	Ω
230.0	299.1	5.2	R10
230.0	306.3	5.2	470k
241.4	307.0	5.2	Ω
96.8	299.1	5.2	R9
96.8	306.3	5.2	470k
108.2	307.0	5.2	Ω
892.4	281.1	5.2	R8
896.0	295.5	5.2	100k
907.4	296.2	5.2	Ω
989.6	54.3	5.2	R2
989.6	68.7	5.2	100
998.4	69.4	5.2	Ω
384.8	788.7	5.2	R26
384.8	803.1	5.2	100
393.6	803.8	5.2	Ω
1083.2	565.5	5.2	R23
1083.2	572.7	5.2	100
1092.0	573.4	5.2	Ω
856.4	540.3	5.2	R21
856.4	547.5	5.2	10k
864.9	548.2	5.2	Ω
712.4	540.3	5.2	R19
712.4	547.5	5.2	10k
720.9	548.2	5.2	Ω
784.4	540.3	5.2	R20
784.4	547.5	5.2	10k
792.9	548.2	5.2	Ω
152.3	317.1	5.2	VOUT-ADC
273.3	317.1	5.2	USB-VBUS-ADC
1041.4	251.5	5.2	GND
368.2	748.3	5.2	GND
217.0	370.3	5.2	GND
1041.4	323.5	5.2	GND
1016.2	309.1	5.2	GND
83.8	370.3	5.2	GND
670.6	316.3	5.2	GND
86.0	763.5	5.2	C19
96.8	770.7	5.2	100nF
165.2	763.5	5.2	C20
176.0	770.7	5.2	100nF
237.2	763.5	5.2	C21
248.0	770.7	5.2	100nF
316.4	763.5	5.2	C22
327.2	770.7	5.2	100nF
766.4	349.5	5.2	C12
748.4	360.3	5.2	100nF
86.0	547.5	5.2	C15
68.0	558.3	5.2	100nF
39.2	547.5	5.2	C13
21.2	558.3	5.2	10uF
